,Variable,P-Value
585,has_commercial_res200_std_dev_5x5,0.26554327368061514
755,sentinel_2_ndbi_mean_9x9,0.26599881617171284
693,sd_level2_res30_mean_9x9,0.2686489311058493
333,zonedist_level3_res30_std_dev_3x3,0.270773830268369
297,awei_sh_std_dev_3x3,0.27089298969125575
413,swir16_mean_5x5,0.2717813651823264
190,zonedist_level3_res1000_mean_3x3,0.27224362035147553
811,nbr_std_dev_9x9,0.2724044049920752
95,B07,0.2726937312982137
170,nbr_mean_3x3,0.2732961635727348
354,B08_std_dev_3x3,0.2742794982717967
341,has_residence_res500_std_dev_3x3,0.2744407300711881
241,sentinel_2_si_mean_3x3,0.2759385693051739
633,street_lanes_res100_std_dev_5x5,0.27654503668282265
438,zonedist_level1_res100_mean_5x5,0.2767337924110793
235,sentinel_2_msavi_mean_3x3,0.2775142487916611
323,has_park_res1000_std_dev_3x3,0.2801652996726144
856,has_park_res500_std_dev_9x9,0.2804824033195698
589,zonedist_level3_res30_std_dev_5x5,0.2813756544204581
230,sentinel_2_ndvi_mean_3x3,0.281821938123319
232,sentinel_2_savi_mean_3x3,0.2819131111915052
373,sentinel_2_ibi_std_dev_3x3,0.2828259422392343
375,street_width_res100_std_dev_3x3,0.28348841530573027
194,has_park_res1000_mean_3x3,0.2836831522402023
344,has_park_res500_std_dev_3x3,0.2841729035693422
330,has_park_res200_std_dev_3x3,0.2861610401835218
418,evi_mean_5x5,0.286543279924934
420,gndvi_mean_5x5,0.28691221637362607
423,ndwi_mean_5x5,0.28691221637362607
829,zonedist_level1_res1000_std_dev_9x9,0.2873837838947991
543,coastal_std_dev_5x5,0.28862272687438817
360,sentinel_2_evi_std_dev_3x3,0.2894110213076465
24,blue,0.2914575340988593
371,sentinel_2_ndbi_std_dev_3x3,0.29360801658841074
761,street_lanes_res100_mean_9x9,0.29567409629411767
299,nbr_std_dev_3x3,0.2962398897633181
499,sentinel_2_ndbi_mean_5x5,0.2967588312466315
262,building_year_res100_std_dev_3x3,0.2996187861307068
812,si_std_dev_9x9,0.29978951116608066
464,has_commercial_res30_mean_5x5,0.3006111172154623
223,B06_mean_3x3,0.30131267564074116
422,msavi_mean_5x5,0.30155106384558794
616,sentinel_2_evi_std_dev_5x5,0.301980687339343
41,nbr,0.3040863241743877
64,has_commercial_res1000,0.30487600451056074
97,B8A,0.3080363585436758
637,street_lanes_res30_std_dev_5x5,0.3141713340094279
419,savi_mean_5x5,0.3142216269912451
580,zonedist_level1_res200_std_dev_5x5,0.31557523098112483
611,B8A_std_dev_5x5,0.3169254107430288
651,building_year_res30_mean_9x9,0.31839893460697183
239,sentinel_2_ndsi_mean_3x3,0.32272749419752833
287,coastal_std_dev_3x3,0.32502742046057337
514,has_park_res30_distance_mean_5x5,0.32503609229977143
694,zonedist_level1_res100_mean_9x9,0.32664188719187204
809,awei_sh_std_dev_9x9,0.33112824870663393
725,has_residence_res500_mean_9x9,0.33224865309882123
487,sentinel_2_ndvi_mean_5x5,0.33479351658879053
489,sentinel_2_savi_mean_5x5,0.3348446051026005
641,has_commercial_res30_distance_std_dev_5x5,0.33643080269303594
147,canopy_heigth_count_res30_mean_3x3,0.3397766455632822
276,canopy_heigth_count_res30_std_dev_3x3,0.3399785890701198
492,sentinel_2_msavi_mean_5x5,0.34064995107946394
480,B06_mean_5x5,0.3415029838887147
866,B08_std_dev_9x9,0.3422537715097098
697,has_residence_res100_mean_9x9,0.3423086870321441
459,zonedist_level1_res30_mean_5x5,0.3423989570020239
446,zonedist_level2_res1000_mean_5x5,0.343694122086455
752,sentinel_2_ndsi_mean_9x9,0.3441223225545007
658,canopy_heigth_count_res10_mean_9x9,0.34733386309007364
318,zonedist_level2_res1000_std_dev_3x3,0.34898896204317176
786,canopy_heigth_count_res10_std_dev_9x9,0.3527834311872281
257,has_park_res30_distance_mean_3x3,0.3534012257632644
853,has_residence_res500_std_dev_9x9,0.3535663374838375
179,sd_level1_res30_mean_3x3,0.3548634216292966
721,has_park_res30_mean_9x9,0.3577655434263639
884,sentinel_2_ui_std_dev_9x9,0.3596251446562949
428,si_mean_5x5,0.36564451868858117
643,aod47_mean_9x9,0.3672446952020366
180,sd_level2_res30_mean_3x3,0.3674853872844587
556,si_std_dev_5x5,0.3679179410779274
850,zonedist_level1_res500_std_dev_9x9,0.3702112185897696
559,ibi_std_dev_5x5,0.3730925881751931
395,building_year_res30_mean_5x5,0.3734833154776721
298,ndsi_std_dev_3x3,0.3755044631461322
328,has_manufacture_res200_std_dev_3x3,0.37614614956313985
784,building_area_per_pixel_res30_std_dev_9x9,0.37687170400921455
780,building_area_res30_std_dev_9x9,0.37687170490849764
421,arvi_mean_5x5,0.3778708045218372
112,sentinel_2_si,0.379057497482165
855,has_commercial_res500_std_dev_9x9,0.3802553255749376
417,ndvi_mean_5x5,0.3804123857042433
234,sentinel_2_arvi_mean_3x3,0.3809109736455879
644,aod55_mean_9x9,0.38182773017888016
771,aod47_std_dev_9x9,0.38199995305744805
306,overlay_level2_res30_std_dev_3x3,0.38276151510818357
455,has_residence_res200_mean_5x5,0.3836462231003773
746,sentinel_2_gndvi_mean_9x9,0.3845230883093629
749,sentinel_2_ndwi_mean_9x9,0.3845230883093629
115,sentinel_2_ibi,0.38466242156161434
715,zonedist_level1_res30_mean_9x9,0.38518381872144514
68,zonedist_level3_res200,0.3871755203403078
430,ui_mean_5x5,0.3897273837680335
538,blue_std_dev_5x5,0.39096477625271164
286,swir22_std_dev_3x3,0.39333366992994867
273,canopy_heigth_res10_std_dev_3x3,0.3956783146824827
174,ibi_mean_3x3,0.3965056762482222
424,awei_nsh_mean_5x5,0.3969600783912014
9,building_area_res30,0.3972028609988343
13,building_area_per_pixel_res30,0.3972028609988343
307,overlay_level1_res30_std_dev_3x3,0.39736857717429763
664,hcho_july24_mean_9x9,0.3990488640908646
29,coastal,0.40286696957280976
311,zonedist_level2_res100_std_dev_3x3,0.4032415885669147
345,o3_july24_std_dev_3x3,0.40521384295267615
772,aod55_std_dev_9x9,0.40736709000620874
870,B12_std_dev_9x9,0.40842205476362636
613,B11_std_dev_5x5,0.41015817759965223
766,street_orientation_res30_mean_9x9,0.4139465396807914
859,B01_std_dev_9x9,0.4148092308231145
526,building_area_per_pixel_res100_std_dev_5x5,0.41501272184086013
520,building_area_res100_std_dev_5x5,0.4150127230131585
500,sentinel_2_ui_mean_5x5,0.41539279676718854
128,has_park_res30_distance,0.41602383502330664
833,has_manufacture_res1000_std_dev_9x9,0.4177760897144217
385,has_commercial_res30_distance_std_dev_3x3,0.42002731547409744
871,sentinel_2_ndvi_std_dev_9x9,0.42037265722785533
873,sentinel_2_savi_std_dev_9x9,0.42043145174345775
743,sentinel_2_ndvi_mean_9x9,0.42043145174345775
745,sentinel_2_savi_mean_9x9,0.42090198170581083
491,sentinel_2_arvi_mean_5x5,0.421431697214509
52,zonedist_level1_res100,0.4219346197975571
224,B07_mean_3x3,0.42467730589948416
102,sentinel_2_evi,0.4248843573888784
729,o3_july24_mean_9x9,0.4260864930771068
893,street_lanes_res30_std_dev_9x9,0.42648336916171703
747,sentinel_2_arvi_mean_9x9,0.42651311277445214
431,ibi_mean_5x5,0.4286506869157731
11,building_area_per_pixel_res100,0.428667863558565
5,building_area_res100,0.428667863558565
167,awei_nsh_mean_3x3,0.42915632159904304
282,blue_std_dev_3x3,0.4370228623914968
72,has_park_res200,0.437868488850398
860,B02_std_dev_9x9,0.4392512201590921
181,zonedist_level1_res100_mean_3x3,0.44125411226795785
754,sentinel_2_si_mean_9x9,0.44396997515220904
416,lwir11_mean_5x5,0.4441519568886467
573,zonedist_level1_res1000_std_dev_5x5,0.4445381129567648
204,zonedist_level3_res30_mean_3x3,0.4451039976503792
702,zonedist_level2_res1000_mean_9x9,0.4455537185872043
782,building_area_per_pixel_res100_std_dev_9x9,0.4460353530026928
776,building_area_res100_std_dev_9x9,0.4460353530026928
145,canopy_heigth_count_res10_mean_3x3,0.4464765403342793
0,aod47,0.4530455162404087
584,has_manufacture_res200_std_dev_5x5,0.4575407589881897
1,aod55,0.4578442382198644
748,sentinel_2_msavi_mean_9x9,0.4594114392612483
364,sentinel_2_msavi_std_dev_3x3,0.4630696781499224
627,sentinel_2_ndbi_std_dev_5x5,0.46437567118688494
796,nir08_std_dev_9x9,0.4660577311521562
246,street_width_res100_mean_3x3,0.466525129233336
280,hcho_july24_std_dev_3x3,0.46694421935288377
863,B05_std_dev_9x9,0.46730602228167195
39,awei_sh,0.4678057081871969
869,B11_std_dev_9x9,0.4694948416827983
226,B8A_mean_3x3,0.47222307561773424
849,has_park_res30_std_dev_9x9,0.4728011191953705
845,zonedist_level3_res30_std_dev_9x9,0.476374557962573
105,sentinel_2_arvi,0.4796043630840293
30,lwir11,0.48115750176936634
75,zonedist_level3_res30,0.48189531615484593
231,sentinel_2_evi_mean_3x3,0.48970336428262484
143,canopy_heigth_mean_3x3,0.49080687907912135
159,lwir11_mean_3x3,0.49281621725558034
305,no2_july24_std_dev_3x3,0.4932183228864244
537,red_std_dev_5x5,0.495037023756166
472,has_park_res500_mean_5x5,0.4957032452207466
21,co_july24,0.4969001079570544
593,has_park_res30_std_dev_5x5,0.49723901157444084
243,sentinel_2_ui_mean_3x3,0.49774788365206735
272,canopy_heigth_std_dev_3x3,0.4984003132252496
408,hcho_july24_mean_5x5,0.49852751403287976
724,zonedist_level3_res500_mean_9x9,0.4987998862729207
154,green_mean_3x3,0.4991708696765834
275,canopy_heigth_res30_std_dev_3x3,0.49943037439296656
867,B8A_std_dev_9x9,0.5007258759039086
488,sentinel_2_evi_mean_5x5,0.5018288236753672
672,lwir11_mean_9x9,0.5035180893384638
402,canopy_heigth_count_res10_mean_5x5,0.503759064799196
599,has_commercial_res500_std_dev_5x5,0.505403807202248
432,albedo_mean_5x5,0.5065142649521319
468,zonedist_level3_res500_mean_5x5,0.5071164578302072
352,B06_std_dev_3x3,0.5088656765982242
756,sentinel_2_ui_mean_9x9,0.5103709588604117
628,sentinel_2_ui_std_dev_5x5,0.5110261397325245
67,zonedist_level2_res200,0.5129532395607053
153,blue_mean_3x3,0.5172061630743134
353,B07_std_dev_3x3,0.517766946674403
632,street_traffic_res100_std_dev_5x5,0.5178260036774384
74,zonedist_level2_res30,0.5178971063152323
763,street_width_res30_mean_9x9,0.5185920945577096
274,canopy_heigth_count_res10_std_dev_3x3,0.5207903659314774
338,zonedist_level1_res500_std_dev_3x3,0.5262137665118466
504,street_traffic_res100_mean_5x5,0.5262758076668856
278,canopy_heigth_count_res5_std_dev_3x3,0.5264792608893165
623,sentinel_2_awei_sh_std_dev_5x5,0.5265484559694482
324,zonedist_level1_res200_std_dev_3x3,0.5275519737241352
635,street_width_res30_std_dev_5x5,0.5289806356118321
625,sentinel_2_nbr_std_dev_5x5,0.532623254521924
566,zonedist_level1_res100_std_dev_5x5,0.5371235746935301
898,has_park_res30_distance_std_dev_9x9,0.537507583499921
823,zonedist_level2_res100_std_dev_9x9,0.538463505567282
503,street_width_res100_mean_5x5,0.541902296689914
530,canopy_heigth_count_res10_std_dev_5x5,0.5420475470234435
539,green_std_dev_5x5,0.5459622874296723
156,swir16_mean_3x3,0.5469116865847468
818,overlay_level2_res30_std_dev_9x9,0.5491605439001565
825,has_residence_res100_std_dev_9x9,0.5507836985293921
789,canopy_heigth_res5_std_dev_9x9,0.5508810396481068
820,sd_level1_res30_std_dev_9x9,0.550925230960151
158,coastal_mean_3x3,0.5522842840519742
817,no2_july24_std_dev_9x9,0.5533917535245159
285,swir16_std_dev_3x3,0.5548094584151606
175,albedo_mean_3x3,0.5582993056448349
861,B03_std_dev_9x9,0.5626938528444505
290,evi_std_dev_3x3,0.5629689814819194
736,B06_mean_9x9,0.5629690575141988
405,canopy_heigth_res5_mean_5x5,0.5637791009943379
301,ndbi_std_dev_3x3,0.5644837832244652
403,canopy_heigth_res30_mean_5x5,0.565302876153617
821,sd_level2_res30_std_dev_9x9,0.5661187091292776
620,sentinel_2_msavi_std_dev_5x5,0.567864770656114
668,nir08_mean_9x9,0.5701817005134282
607,B05_std_dev_5x5,0.5715325457924794
690,overlay_level2_res30_mean_9x9,0.573091903192469
568,zonedist_level3_res100_std_dev_5x5,0.5770695711029816
892,street_traffic_res30_std_dev_9x9,0.5793198896652652
412,nir08_mean_5x5,0.580576302941952
315,has_commercial_res100_std_dev_3x3,0.583725477954623
469,has_residence_res500_mean_5x5,0.5842942817005086
579,has_park_res1000_std_dev_5x5,0.5850893634117227
215,has_park_res500_mean_3x3,0.5851431729140216
481,B07_mean_5x5,0.5874731345603725
839,has_residence_res200_std_dev_9x9,0.5956172475392734
482,B08_mean_5x5,0.5985436113327987
152,red_mean_3x3,0.5993227234942475
600,has_park_res500_std_dev_5x5,0.602050128010704
887,street_width_res100_std_dev_9x9,0.6062486868890968
832,has_residence_res1000_std_dev_9x9,0.6074003946338912
561,no2_july24_std_dev_5x5,0.6077032084659839
172,ndbi_mean_3x3,0.6096720183456883
704,has_residence_res1000_mean_9x9,0.6118971576444581
58,has_park_res100,0.6135861357857937
764,street_traffic_res30_mean_9x9,0.6152310051367202
785,canopy_heigth_res10_std_dev_9x9,0.6202049061672136
87,o3_july24,0.6223469173187135
319,zonedist_level3_res1000_std_dev_3x3,0.6230113231333082
877,sentinel_2_ndwi_std_dev_9x9,0.6236653382595061
874,sentinel_2_gndvi_std_dev_9x9,0.6236653382595061
819,overlay_level1_res30_std_dev_9x9,0.6244852877711954
14,canopy_heigth,0.6266857488688711
294,msavi_std_dev_3x3,0.6304599864075193
691,overlay_level1_res30_mean_9x9,0.6306233227780738
300,si_std_dev_3x3,0.6316921849639465
634,street_orientation_res100_std_dev_5x5,0.6328350607370308
567,zonedist_level2_res100_std_dev_5x5,0.6329606616825292
603,B01_std_dev_5x5,0.6335268331739252
119,street_lanes_res100,0.6335953319573737
591,has_manufacture_res30_std_dev_5x5,0.6336248019748089
312,zonedist_level3_res100_std_dev_3x3,0.6372145736755247
279,co_july24_std_dev_3x3,0.6380546244491532
335,has_manufacture_res30_std_dev_3x3,0.6383992725427589
20,canopy_heigth_count_res5,0.6397969738872451
244,sentinel_2_ibi_mean_3x3,0.6490492464846838
277,canopy_heigth_res5_std_dev_3x3,0.6492025541972819
461,zonedist_level3_res30_mean_5x5,0.6506230812049115
483,B8A_mean_5x5,0.6576899048913615
835,has_park_res1000_std_dev_9x9,0.6586875884736971
293,arvi_std_dev_3x3,0.6611959913800929
40,ndsi,0.6648206423841857
73,zonedist_level1_res30,0.6670599094939313
598,has_manufacture_res500_std_dev_5x5,0.6699060885376148
707,has_park_res1000_mean_9x9,0.6699427065924204
177,overlay_level2_res30_mean_3x3,0.6707932511883604
202,zonedist_level1_res30_mean_3x3,0.6724457197568703
250,street_width_res30_mean_3x3,0.6729771526461679
722,zonedist_level1_res500_mean_9x9,0.678238076840892
42,si,0.6793971118361862
398,building_area_per_pixel_res100_mean_5x5,0.681489070165378
392,building_area_res100_mean_5x5,0.681489070165378
876,sentinel_2_msavi_std_dev_9x9,0.6839586330815122
208,has_park_res30_mean_3x3,0.6866481503337383
269,building_area_per_pixel_res100_std_dev_3x3,0.6896551351952558
263,building_area_res100_std_dev_3x3,0.6896551351952558
696,zonedist_level3_res100_mean_9x9,0.6918744410791334
291,savi_std_dev_3x3,0.6978625458173459
862,B04_std_dev_9x9,0.698919007607069
695,zonedist_level2_res100_mean_9x9,0.7017129039791252
130,aod55_mean_3x3,0.7023703394122576
519,building_year_res100_std_dev_5x5,0.7037930916711359
155,nir08_mean_3x3,0.7100081012583982
564,sd_level1_res30_std_dev_5x5,0.7153015839453186
129,aod47_mean_3x3,0.7173257644106953
225,B08_mean_3x3,0.7178416951729552
79,has_park_res30,0.7193354217231045
711,has_residence_res200_mean_9x9,0.7220720764543882
880,sentinel_2_ndsi_std_dev_9x9,0.7284220163498689
565,sd_level2_res30_std_dev_5x5,0.7320900001365671
730,population_res1000_mean_9x9,0.7324415225229788
343,has_commercial_res500_std_dev_3x3,0.7354567560767012
49,overlay_level1_res30,0.7365574599560699
583,has_residence_res200_std_dev_5x5,0.7365801621464114
45,ibi,0.7367853350737114
32,evi,0.7369390868846944
317,zonedist_level1_res1000_std_dev_3x3,0.7369508300045694
48,overlay_level2_res30,0.7370894179211931
891,street_width_res30_std_dev_9x9,0.741479491954875
737,B07_mean_9x9,0.7443315142804756
178,overlay_level1_res30_mean_3x3,0.7447376880128217
560,albedo_std_dev_5x5,0.745797361030357
123,street_lanes_res30,0.7465798229961031
505,street_lanes_res100_mean_5x5,0.7468778424975056
203,zonedist_level2_res30_mean_3x3,0.7481643839803584
445,zonedist_level1_res1000_mean_5x5,0.7511439506104732
740,B09_mean_9x9,0.7525600406304426
660,canopy_heigth_count_res30_mean_9x9,0.753745129518787
888,street_traffic_res100_std_dev_9x9,0.7561224616116728
619,sentinel_2_arvi_std_dev_5x5,0.7561616815487441
148,canopy_heigth_res5_mean_3x3,0.7580173797056486
703,zonedist_level3_res1000_mean_9x9,0.7627542867332822
631,street_width_res100_std_dev_5x5,0.7640024998297829
868,B09_std_dev_9x9,0.7708544288528384
507,street_width_res30_mean_5x5,0.7712831233893097
362,sentinel_2_gndvi_std_dev_3x3,0.7723361343906922
365,sentinel_2_ndwi_std_dev_3x3,0.7723361343906922
227,B09_mean_3x3,0.7745991324776945
800,lwir11_std_dev_9x9,0.7785057192028106
144,canopy_heigth_res10_mean_3x3,0.7818216028896819
171,si_mean_3x3,0.7826526957071253
509,street_lanes_res30_mean_5x5,0.7888047459168859
169,ndsi_mean_3x3,0.7902583926000245
19,canopy_heigth_res5,0.792665638261937
387,aod47_mean_5x5,0.793631934283612
657,canopy_heigth_res10_mean_9x9,0.7967795791989195
36,msavi,0.7978841084365116
889,street_lanes_res100_std_dev_9x9,0.7980413628121328
597,has_residence_res500_std_dev_5x5,0.8005689310566257
533,canopy_heigth_res5_std_dev_5x5,0.8010911573341388
552,awei_nsh_std_dev_5x5,0.8033992734771567
661,canopy_heigth_res5_mean_9x9,0.8039327346938642
609,B07_std_dev_5x5,0.8052924927491929
183,zonedist_level3_res100_mean_3x3,0.8053458884130639
355,B8A_std_dev_3x3,0.8074631500764182
388,aod55_mean_5x5,0.8075004438401537
43,ndbi,0.8092402258862051
33,savi,0.8093982389392969
379,street_width_res30_std_dev_3x3,0.8095090964900209
608,B06_std_dev_5x5,0.8101884689514454
709,zonedist_level2_res200_mean_9x9,0.8124003998081193
252,street_lanes_res30_mean_3x3,0.816971799455293
308,sd_level1_res30_std_dev_3x3,0.8178846854041666
529,canopy_heigth_res10_std_dev_5x5,0.8191770273982788
439,zonedist_level2_res100_mean_5x5,0.8195217662597453
618,sentinel_2_gndvi_std_dev_5x5,0.8196855185407447
621,sentinel_2_ndwi_std_dev_5x5,0.8196855185407447
738,B08_mean_9x9,0.8252774876932312
451,has_park_res1000_mean_5x5,0.8257759119171028
309,sd_level2_res30_std_dev_3x3,0.8295702252559255
26,nir08,0.8296858763752554
648,building_area_res100_mean_9x9,0.8303216380107094
654,building_area_per_pixel_res100_mean_9x9,0.8303216380107094
35,arvi,0.8304807853072138
289,ndvi_std_dev_3x3,0.8308783050323391
110,sentinel_2_ndsi,0.8313156458545082
662,canopy_heigth_count_res5_mean_9x9,0.8317553399945857
114,sentinel_2_ui,0.834059965046411
281,red_std_dev_3x3,0.8341395150900588
886,sentinel_2_albedo_std_dev_9x9,0.8363683546432383
283,green_std_dev_3x3,0.8367664656466783
612,B09_std_dev_5x5,0.8383047133843675
465,has_park_res30_mean_5x5,0.8398661695936768
313,has_residence_res100_std_dev_3x3,0.8486361501351481
536,hcho_july24_std_dev_5x5,0.8486572687759277
163,gndvi_mean_3x3,0.8488894298032652
166,ndwi_mean_3x3,0.8488894298032652
44,ui,0.8506470972247397
401,canopy_heigth_res10_mean_5x5,0.8552562268625272
710,zonedist_level3_res200_mean_9x9,0.8556038623335946
716,zonedist_level2_res30_mean_9x9,0.8571159174484897
118,street_traffic_res100,0.8591328176263717
540,nir08_std_dev_5x5,0.8634520017581591
790,canopy_heigth_count_res5_std_dev_9x9,0.8642679964954922
765,street_lanes_res30_mean_9x9,0.8678621386704706
117,street_width_res100,0.8719866510552989
146,canopy_heigth_res30_mean_3x3,0.8724253612859656
864,B06_std_dev_9x9,0.8773376868012888
292,gndvi_std_dev_3x3,0.8786238619908852
295,ndwi_std_dev_3x3,0.8786238619908852
739,B8A_mean_9x9,0.8787846826876531
380,street_traffic_res30_std_dev_3x3,0.8803915417239654
96,B08,0.8806742342984428
161,evi_mean_3x3,0.8838523085936726
872,sentinel_2_evi_std_dev_9x9,0.8844961874259482
296,awei_nsh_std_dev_3x3,0.8847376297770375
890,street_orientation_res100_std_dev_9x9,0.8851397701894773
381,street_lanes_res30_std_dev_3x3,0.887569941186168
865,B07_std_dev_9x9,0.888763637128539
165,msavi_mean_3x3,0.8927118665049485
182,zonedist_level2_res100_mean_3x3,0.8942114699633354
248,street_lanes_res100_mean_3x3,0.8951706725133683
404,canopy_heigth_count_res30_mean_5x5,0.8952168258649549
321,has_manufacture_res1000_std_dev_3x3,0.8961580800864386
717,zonedist_level3_res30_mean_9x9,0.896940429967741
303,ibi_std_dev_3x3,0.8977920865996365
98,B09,0.9007371326931595
728,has_park_res500_mean_9x9,0.9027034492203357
359,sentinel_2_ndvi_std_dev_3x3,0.9044914615385042
361,sentinel_2_savi_std_dev_3x3,0.9048952591565114
534,canopy_heigth_count_res5_std_dev_5x5,0.9089031937325545
615,sentinel_2_ndvi_std_dev_5x5,0.911682654782543
617,sentinel_2_savi_std_dev_5x5,0.9120868746737003
447,zonedist_level3_res1000_mean_5x5,0.9122709048591846
162,savi_mean_3x3,0.9132996529580916
569,has_residence_res100_std_dev_5x5,0.9147114013583683
382,street_orientation_res30_std_dev_3x3,0.9156549723833964
54,zonedist_level3_res100,0.9185117001871584
31,ndvi,0.9186383119914748
247,street_traffic_res100_mean_3x3,0.9198023115920403
647,building_year_res100_mean_9x9,0.9253571987004068
535,co_july24_std_dev_5x5,0.9309725494864264
577,has_manufacture_res1000_std_dev_5x5,0.9332386244393854
15,canopy_heigth_res10,0.9353842547322105
304,albedo_std_dev_3x3,0.939946168816117
440,zonedist_level3_res100_mean_5x5,0.9410399788374079
882,sentinel_2_si_std_dev_9x9,0.942866538014501
37,ndwi,0.9498459698274803
34,gndvi,0.9498459698274803
391,building_year_res100_mean_5x5,0.9533777126052909
897,has_commercial_res30_distance_std_dev_9x9,0.9560168338040511
363,sentinel_2_arvi_std_dev_3x3,0.956341957202296
53,zonedist_level2_res100,0.9598023507528939
544,lwir11_std_dev_5x5,0.959834762193949
160,ndvi_mean_3x3,0.9621095700964372
337,has_park_res30_std_dev_3x3,0.96499679237247
164,arvi_mean_3x3,0.9690983314281115
775,building_year_res100_std_dev_9x9,0.9701549624721447
121,street_width_res30,0.9715823913451629
508,street_traffic_res30_mean_5x5,0.9727080714299483
173,ui_mean_3x3,0.9742195423433339
378,street_orientation_res100_std_dev_3x3,0.9752046901007501
149,canopy_heigth_count_res5_mean_3x3,0.9802995033116848
460,zonedist_level2_res30_mean_5x5,0.9804676535048111
759,street_width_res100_mean_9x9,0.9808054699886597
484,B09_mean_5x5,0.9808054901456407
17,canopy_heigth_res30,0.98437466718414
284,nir08_std_dev_3x3,0.9861728038883742
610,B08_std_dev_5x5,0.988694048276033
473,o3_july24_mean_5x5,0.9890576663719088
406,canopy_heigth_count_res5_mean_5x5,0.9893775471727667
288,lwir11_std_dev_3x3,0.9981291698002921
